,minuteOfDay,Close
389,78,171.7
390,1,173.23
391,2,173.47
392,3,173.28
393,4,173.18
394,5,173.3
395,6,172.94
396,7,172.99
397,8,172.66
398,9,172.805
399,10,172.71
400,11,172.72
401,12,172.77
402,13,172.75
403,14,173.0
404,15,173.01
405,16,172.93
406,17,172.98
407,18,172.98
408,19,173.0099
409,20,173.02
410,21,173.0067
411,22,173.0
412,23,173.08
413,24,172.96
414,25,172.96
415,26,172.81
416,27,172.76
417,28,172.89
418,29,172.975
419,30,172.9
420,31,172.55
421,32,172.24
422,33,172.26
423,34,172.3838
424,35,172.5798
425,36,172.62
426,37,172.5
427,38,172.27
428,39,172.29
429,40,172.51
430,41,172.6
431,42,172.66
432,43,172.62
433,44,172.75
434,45,172.64
435,46,172.59
436,47,172.55
437,48,172.51
438,49,172.47
439,50,172.474
440,51,172.49
441,52,172.58
442,53,172.4201
443,54,172.37
444,55,172.8351
445,56,172.79
446,57,172.69
447,58,172.7568
448,59,172.795
449,60,172.9987
450,61,172.98
451,62,172.845
452,63,172.95
453,64,173.06
454,65,173.04
455,66,173.05
456,67,172.9564
457,68,172.9674
458,69,172.97
459,70,173.0449
460,71,172.94
461,72,172.75
462,73,172.87
463,74,172.902
464,75,172.88
465,76,172.86
466,77,172.5
467,78,172.27
468,1,172.94
469,2,172.73
470,3,172.6476
471,4,172.78
472,5,172.3686
473,6,172.3901
474,7,172.36
475,8,172.56
476,9,172.675
477,10,172.56
478,11,172.5
479,12,172.39
480,13,172.558
481,14,172.34
482,15,172.38
483,16,172.33
484,17,172.33
485,18,172.34
486,19,172.07
487,20,171.87
488,21,171.735
489,22,172.022
490,23,172.03
491,24,172.12
492,25,172.255
493,26,172.31
494,27,172.47
495,28,172.5
496,29,172.47
497,30,172.285
498,31,172.23
499,32,172.235
500,33,172.23
501,34,172.16
502,35,172.11
503,36,172.14
504,37,172.329
505,38,172.32
506,39,172.48
507,40,172.2
508,41,172.19
509,42,172.118
510,43,172.03
511,44,172.16
512,45,172.16
513,46,171.95
514,47,171.93
515,48,172.03
516,49,172.03
517,50,172.16
518,51,172.1949
519,52,172.38
520,53,172.28
521,54,172.13
522,55,172.37
523,56,172.29
524,57,172.27
525,58,172.24
526,59,172.015
527,60,171.9
528,61,172.055
529,62,171.9348
530,63,172.03
531,64,172.06
532,65,172.17
533,66,172.23
534,67,172.095
535,68,172.22
536,69,172.28
537,70,172.12
538,71,172.21
539,72,172.3
540,73,172.36
541,74,172.31
542,75,172.345
543,76,172.23
544,77,172.25
545,78,172.22
546,1,172.91
547,2,172.77
548,3,172.77
549,4,172.725
550,5,172.8
551,6,172.85
552,7,172.87
553,8,172.87
554,9,172.655
555,10,172.92
